Greek Council,Greek Organization,Home City,Home State,Home Country,Latitude of Home City,Longitude of Home City,Free and reduced percentage of  High School,Public or Private High School,Domestic or International High School,Boarding/Day High School,Religous High School?,Gender of High School's Students,Tuition of High School,Sports Team,Merit Scholarship
Sorority,Zeta Tau Alpha,Berwyn,Pennsylvania,United States,40.044831,-75.438805,0.06094588,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bethesda,Maryland,United States,38.984827,-77.094646,Data not available,private,Domestic,Day,Quaker,Co-Ed,39360,None,None
None,None,Bethesda,Maryland,United States,38.984827,-77.094646,0.1174,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bethesda,Maryland,United States,38.984827,-77.094646,0.06896551,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Soccer,None
Sorority,Pi Beta Phi,Bethesda,Maryland,United States,38.984827,-77.094646,Data not available,private,Domestic,Day,Unafilliated,All-Girls,40150,None,None
Sorority,Kappa Kappa Gamma,Bethesda,Maryland,United States,38.984827,-77.094646,Data not available,private,Domestic,Day,Quaker,Co-Ed,39360,None,None
Sorority,Alpha Delta Pi,Bethesda,Maryland,United States,38.984827,-77.094646,0.02523659,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Delta Delta,Beverly Hills,California,United States,34.07362,-118.400356,NA,private,Domestic,Day,Unafilliated,Co-Ed,35900,None,None
Fraternity,Alpha Epsilon Pi,Billerica,Massachusetts,United States,42.558426,-71.268947,0.1887,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Billings,Montana,United States,45.787496,-108.49607,Data not available,private,Domestic,Day,Catholic,Co-Ed,8640,None,Robertson
None,None,Biot,NA,France,43.628033,7.096645,NA,public,International,Day,Unafilliated,Co-Ed,0,None,None
None,None,Birmingham,Alabama,United States,33.520682,-86.802433,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,21552,None,AB
None,None,Birmingham,Alabama,United States,33.520682,-86.802433,0.05,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Blackburn,NA,Australia,-37.821701,145.152276,NA,public,International,Day,Unafilliated,All-Girls,0,Women's Tennis,None
None,None,Blacksburg,Virginia,United States,37.229573,-80.413939,0.1699,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Blackwood,New Jersey,United States,39.802336,-75.06406,0.28236246,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bloomfield,Connecticut,United States,41.826488,-72.730094,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,44550,None,None
None,None,Bloomfield,New Jersey,United States,41.826488,-72.730094,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,37270,None,None
None,None,Bloomfield,Connecticut,United States,41.826488,-72.730094,0.5,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bloomfield,Connecticut,United States,40.806767,-74.185423,0.17606123,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bloomfield Hills,Michigan,United States,42.583645,-83.245488,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,33100,None,None
None,None,Bloomfield Hills,Michigan,United States,42.583645,-83.245488,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,33100,Men's Lacrosse,None
None,None,Bloomfield Hills,Michigan,United States,42.583645,-83.245488,Data not available,private,Domestic,Day,Catholic,Co-Ed,12800,None,None
None,None,Bloomfield Hills,Michigan,United States,42.583645,-83.245488,0.086,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bloomfield Hills,Michigan,United States,42.583645,-83.245488,0.086,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Kappa Gamma,Bloomfield Hills,Michigan,United States,42.583645,-83.245488,0.086,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bloomington,Illinois,United States,40.473107,-88.99414,Data not available,private,Domestic,Day,Catholic,Co-Ed,9300,None,None
Sorority,Kappa Alpha Theta,Blue Ash,Ohio,United States,39.232007,-84.378282,0.15773067,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bluffton,South Carolina,United States,32.237147,-80.860387,0.3625,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boca Raton,Florida,United States,26.358689,-80.083098,Data not available,Home School,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boca Raton,Florida,United States,26.358689,-80.083098,0.3281,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boca Raton,Florida,United States,26.358689,-80.083098,0.3281,public,Domestic,Day,Unafilliated,Co-Ed,0,Baseball,None
None,None,Boca Raton,Florida,United States,26.358689,-80.083098,0.31659056,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boca Raton,Florida,United States,26.358689,-80.083098,0.22933446,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boca Raton,Florida,United States,26.358689,-80.083098,0.1988,public,Domestic,Day,Unafilliated,Co-Ed,0,None,Robertson
Fraternity,Alpha Epsilon Pi,Boca Raton,Florida,United States,26.358689,-80.083098,NA,private,Domestic,Day,Unafilliated,Co-Ed,31030,None,None
Fraternity,Sigma Phi Epsilon,Boca Raton,Florida,United States,26.358689,-80.083098,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,26950,None,AB
Sorority,Chi Omega,Boca Raton,Florida,United States,26.358689,-80.083098,0.22933446,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Boerne,Texas,United States,29.794664,-98.73197,0.095,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Nu,Bogota,NA,Colombia,4.598048,-74.076087,NA,private,International,Day,Inter-/Non-denominational,Co-Ed,28822.45,None,None
None,None,Bogota,NA,Colombia,4.598048,-74.076087,NA,private,International,Day,Catholic,Co-Ed,NA,None,None
None,None,Boise,Idaho,United States,43.61656,-116.200835,0.31284916,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Track,None
Fraternity,Kappa Alpha Order,Boise,Idaho,United States,43.61656,-116.200835,0.222,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boone,North Carolina,United States,36.216795,-81.674552,Data not available,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boston,Massachusetts,United States,42.360482,-71.059568,NA,private,International,Day,Unafilliated,Co-Ed,32219.44,None,None
Sorority,Alpha Phi,Boulder,Colorado,United States,40.014986,-105.270546,0.2148,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Sigma Phi,Boulder,Colorado,United States,40.014986,-105.270546,0.2148,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bowling Green,Kentucky,United States,36.99032,-86.443602,0.25499092,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Boyds,Maryland,United States,39.184089,-77.312232,0.07183673,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bradenton,Florida,United States,27.498928,-82.574819,0.52677459,public,Domestic,Day,Unafilliated,Co-Ed,0,Fooball,None
Sorority,Zeta Tau Alpha,Bradenton,Florida,United States,27.498928,-82.574819,0.52677459,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Brampton,NA,Canada,43.714575,-79.752387,NA,private,International,Day,Inter-/Non-denominational,Co-Ed,8392.04,Men's Soccer,None
None,None,Brandon,Florida,United States,27.937801,-82.285925,0.377,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Brentwood,Tennessee,United States,36.032569,-86.782523,0.04,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Track,None
None,None,Brentwood,Tennessee,United States,36.032569,-86.782523,0.04,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Brentwood,Tennessee,United States,36.032569,-86.782523,NA,private,Domestic,Day,Unafilliated,All-Girls,26240,None,None
Sorority,Delta Delta Delta,Briarcliff Manor,New York,United States,41.145651,-73.823746,0.030405405,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bridgewater,New Jersey,United States,39.864557,-75.397971,0.080152672,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Brighton,Massachusetts,United States,42.350097,-71.156442,0.2575,public,Domestic,Day,Unafilliated,Co-Ed,0,Rowing,None
None,None,Bristow,Virginia,United States,38.723326,-77.536567,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,26850,None,None
None,None,Bristow,Virginia,United States,38.723326,-77.536567,0.22764227,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Bristow,Virginia,United States,38.723326,-77.536567,0.11785095,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Broadlands,Virginia,United States,39.023252,-77.513323,0.01813186,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Broadview Heights,Ohio,United States,41.313943,-81.685127,0.1189,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Kappa Sigma,Bronx,New York,United States,40.852786,-73.839054,Data not available,private,Domestic,Day,Catholic,All-Boys,8300,None,None
None,None,Bronx,New York,United States,40.852786,-73.839054,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,42805,None,None
None,None,Brookfield,Wisconsin,United States,43.060567,-88.106479,0.13,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Brookfield,Wisconsin,United States,43.060567,-88.106479,0.1,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Brookfield,Wisconsin,United States,43.060567,-88.106479,Data not available,private,Domestic,Day,Catholic,All-Girls,12580,None,None
